Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
466,GeForce GTX 970M,Mobile,Oct 2014,"5,717",373,$209.99*,PCIe 3.0 x16,75,924 MHz,924 MHz,3072 MB
467,Radeon E9550,Desktop,Feb 2026,"5,693",236,NA,NA,NA,NA,NA,NA
468,RadeonT 680M Ryzen 7 7735HS,Mobile,Nov 2023,"5,681",594,NA,NA,NA,NA,NA,NA
Insufficient data,RadeonT 680M,Mobile,Feb 2026,"5,680",617,NA,NA,NA,NA,NA,NA
469,Eng Sample: 100-000000560-40_Y,Unknown,Nov 2024,"5,656",771,NA,NA,NA,NA,NA,NA
470,Intel Arc 140T,Desktop,Nov 2024,"5,635",688,NA,NA,NA,NA,NA,NA
Insufficient data,Radeon Eng Sample: 100-000000544-40_Y,Desktop,Aug 2025,"5,630",842,NA,NA,NA,NA,NA,NA
471,GeForce GTX 680,Desktop,Aug 2012,"5,615",532,$399.00*,PCIe 3.0 x16,195,1006 MHz,1006 MHz,4096 MB
472,Radeon Ryzen 9 PRO 6950H,Unknown,Mar 2024,"5,609",897,NA,NA,NA,NA,NA,NA
473,Radeon PRO Ryzen 7 PRO 6850U,Unknown,Dec 2022,"5,604",760,NA,NA,NA,NA,NA,NA
Insufficient data,Barco MXRV-3100,Desktop,Jan 2026,"5,599",956,NA,NA,NA,NA,NA,NA
474,Ryzen 7 PRO 6850U,Unknown,Nov 2022,"5,581",741,NA,NA,NA,NA,NA,NA
475,Radeon HD 7990,Desktop,May 2013,"5,566",766,$674.96*,PCIe 3.0 x16,375,950 MHz,950 MHz,3072 MB
476,Radeon PRO W6300,"Mobile, Workstation",Jan 2022,"5,560",667,NA,PCIe 4.0 x4,25,1512 MHz,1512 MHz,2048 MB
477,Radeon R9 285 / 380,Desktop,Jan 2015,"5,550",655,$485.00*,PCIe 3.0 x16,190,918 MHz,NA,2048 MB
478,Quadro M3000M,"Mobile, Workstation",Dec 2015,"5,546",398,$159.95*,PCIe 3.0 x16,75,NA, MHz,4096 MB
479,GRID P40-12Q,Unknown,Dec 2022,"5,540",162,NA,NA,NA,NA,NA,NA
480,Radeon TM,Desktop,May 2024,"5,539",698,NA,NA,NA,NA,NA,NA
481,Radeon R9 280,Desktop,Apr 2016,"5,526",668,NA,PCIe 3.0 x16,250,827 MHz,827 MHz,3072 MB
482,GRID M60-8A,Unknown,Dec 2019,"5,523",380,NA,NA,NA,NA,NA,NA
