Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
1388,Radeon HD 7560D + HD 8570 Dual,Unknown,Apr 2014,936,425,NA,NA,NA,NA,NA,NA
1389,Radeon HD 7660G + 7730M Dual,Mobile,Jan 2014,931,392,NA,NA,NA,NA,NA,NA
1390,Radeon R7 240 + HD 8670D Dual,Unknown,Feb 2014,930,471,NA,NA,NA,NA,NA,NA
1391,Intel Iris Pro 6100,Unknown,Mar 2015,925,548,NA,NA,NA,NA,NA,NA
1393,Qualcomm Adreno 685 GPU,Unknown,Jul 2022,922,256,NA,NA,NA,NA,NA,NA
1392,Radeon R7 A10-7850K,Desktop,Oct 2014,922,267,NA,On-Die,95,720 MHz,720 MHz,16384 MB
Insufficient data,Radeon Vega 3 Athlon Gold PRO 3150GE,Unknown,Jan 2023,920,433,NA,NA,NA,NA,NA,NA
1394,Intel HD Graphics 620,Unknown,Oct 2016,919,213,NA,NA,NA,NA,NA,NA
1395,Radeon R7 240 + HD 8570D Dual,Unknown,Sep 2014,918,352,NA,NA,NA,NA,NA,NA
1396,"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",Unknown,Nov 2020,915,207,NA,NA,NA,NA,NA,NA
1397,Radeon R7 PRO A10-9700E,Unknown,Feb 2017,913,217,$529.00*,NA,NA,NA,NA,NA
1398,GRID K220Q,Workstation,Feb 2015,912,539,NA,NA,NA,NA,NA,NA
1399,GRID M6-0B,Workstation,Jun 2016,912,764,NA,NA,NA,NA,NA,NA
1400,Radeon 6750M,Mobile,Sep 2017,911,570,NA,NA,NA,NA,NA,NA
1401,Radeon HD 4770,Desktop,Nov 2011,909,81,$124.86*,PCIe 2.0 x16,80,750 MHz,750 MHz,512 MB
1402,Radeon RX Vega 6 Ryzen 3 3200U,Unknown,Aug 2023,906,275,NA,NA,NA,NA,NA,NA
Insufficient data,GRID P40-6Q,Unknown,Apr 2023,905,33,NA,NA,NA,NA,NA,NA
1403,Radeon R7 240,Desktop,Oct 2013,904,280,$85.99,PCIe 3.0 x16,30,730 MHz,730 MHz,2048 MB
1404,Radeon R7 M440,Unknown,Aug 2016,904,166,NA,NA,NA,NA,NA,NA
1405,Radeon R7 A10-9700 RADEON,Unknown,Mar 2017,903,218,NA,NA,NA,NA,NA,NA
1407,Barco MXRT 7400,Unknown,Apr 2013,901,682,$99.00*,NA,NA,NA,NA,NA
1406,Radeon HD 8550G + 7600M Dual,Mobile,May 2016,901,395,NA,NA,NA,NA,NA,NA
1409,Barco MXRT 2600,Unknown,Jan 2018,900,649,$199.00*,NA,NA,NA,NA,NA
1408,Intel Iris 6100,Unknown,Mar 2015,900,308,NA,NA,NA,NA,NA,NA
1410,Radeon R7 + R5 Dual,Unknown,Apr 2017,898,496,NA,NA,NA,NA,NA,NA
1411,Qualcomm Adreno 680 GPU,Unknown,Feb 2021,896,88,NA,NA,NA,NA,NA,NA
1412,7900 MOD - Radeon HD 6550D,Unknown,Jan 2013,893,536,NA,NA,NA,NA,NA,NA
1413,Radeon Vega 3,Unknown,Apr 2018,891,302,"$2,677.99*",NA,NA,NA,NA,NA
1414,Radeon R7 A10-9700E RADEON,Unknown,Jan 2018,887,237,NA,NA,NA,NA,NA,NA
1416,GeForce GT 640M,Mobile,Oct 2012,886,205,NA,PCIe 3.0 x16,32,625 MHz,NA,2048 MB
1415,Radeon EPYC 4364P 8-Core,Desktop,May 2024,886,253,NA,NA,NA,NA,NA,NA
1417,Radeon R7 + R5 435 Dual A10-9700 RADEON,Unknown,Mar 2017,886,480,NA,NA,NA,NA,NA,NA
1418,Radeon 520,Unknown,Aug 2017,884,205,$89.99*,NA,NA,NA,NA,NA
1420,Radeon HD 8650G + 7670M Dual,Mobile,Aug 2013,884,379,NA,NA,NA,NA,NA,NA
1419,Radeon R5 430,Unknown,Aug 2017,884,302,$59.00*,NA,NA,NA,NA,NA
1422,Radeon HD 7660G + HD 7730M Dual,Mobile,Feb 2016,882,329,NA,NA,NA,NA,NA,NA
1421,Radeon R7 PRO A10-8770,Unknown,Jan 2017,882,219,NA,NA,NA,NA,NA,NA
1423,Intel HD 6000,Unknown,Jan 2015,878,270,NA,NA,NA,NA,NA,NA
1424,Radeon R7 PRO A12-8870E,Unknown,Dec 2016,875,225,NA,NA,NA,NA,NA,NA
1426,GRID M10-0B,Unknown,Feb 2024,871,25,NA,NA,NA,NA,NA,NA
1425,Radeon R7 A10-7860K,Unknown,Mar 2016,871,218,NA,NA,NA,NA,NA,NA
1427,Radeon R7 G,Unknown,Sep 2015,870,532,NA,NA,NA,NA,NA,NA
1428,Radeon R5 M435,Unknown,Jul 2018,869,169,NA,NA,NA,NA,NA,NA
1429,Radeon HD 8570D + HD 6570 Dual,Unknown,Oct 2014,868,506,NA,NA,NA,NA,NA,NA
1430,Mobility Radeon HD 4850,Mobile,Jul 2009,866,472,NA,PCIe x16 2.0,NA,500 MHz,500 MHz,1024 MB
1431,Radeon HD 4830,Desktop,Aug 2012,866,49,$59.99*,PCIe 2.0 x16,95,575 MHz,575 MHz,1024 MB
1432,Radeon HD 8470D + HD 6450 Dual,Unknown,Sep 2014,863,590,NA,NA,NA,NA,NA,NA
1433,Radeon R7 A8-9600 RADEON,Unknown,Apr 2017,862,203,NA,NA,NA,NA,NA,NA
1434,Intel HD 520,Unknown,Jul 2015,860,206,NA,NA,NA,NA,NA,NA
1435,Radeon R5 340,Unknown,Oct 2016,857,329,NA,NA,NA,NA,NA,NA
1436,Radeon R7 A10-8750,Unknown,Sep 2015,856,216,NA,NA,NA,NA,NA,NA
1437,FirePro 3D V4800,Workstation,Aug 2010,854,324,$159.99*,PCIe 2.1 x16,69,775 MHz,775 MHz,1024 MB
1440,Radeon HD 8500M/8700M,Mobile,Feb 2015,853,503,NA,NA,NA,NA,NA,NA
1438,Radeon R5 A6-9500 2C+6G,Unknown,Oct 2017,853,249,NA,NA,NA,NA,NA,NA
1439,Radeon R7 A8-7500 4C+6G,Unknown,Apr 2017,853,390,NA,NA,NA,NA,NA,NA
1441,Radeon E6760,Unknown,Jun 2012,850,434,$239.99*,NA,NA,NA,NA,NA
1442,Radeon R7 A8-7670K,Unknown,Sep 2015,850,286,NA,NA,NA,NA,NA,NA
1443,FirePro W2100,Workstation,Sep 2014,848,306,$59.00*,PCIe 3.0 x8,26,630 MHz,630 MHz,2048 MB
1444,Radeon R5 PRO A6-8570 2C+6G,Unknown,Jan 2017,847,292,NA,NA,NA,NA,NA,NA
1445,Radeon R7 PRO A8-9600,Unknown,Dec 2016,844,216,NA,NA,NA,NA,NA,NA
1447,Radeon R7 M365X,Unknown,Dec 2016,842,165,NA,NA,NA,NA,NA,NA
1446,Radeon Vega 3 Ryzen 3 3200U,Unknown,Jan 2023,842,257,NA,NA,NA,NA,NA,NA
1448,"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",Unknown,Nov 2021,840,180,NA,NA,NA,NA,NA,NA
1449,FireGL V8600,Workstation,Apr 2010,839,406,NA,PCIe,NA,688 MHz,688 MHz,1024 MB
1450,Radeon HD 8470D + 6570 Dual,Unknown,Mar 2014,838,454,NA,NA,NA,NA,NA,NA
1451,Radeon HD 8670D + R5 235 Dual,Unknown,Oct 2014,837,518,NA,NA,NA,NA,NA,NA
Insufficient data,Radeon Vega 3 Athlon Gold PRO 3150G,Desktop,Jan 2025,837,311,NA,NA,NA,NA,NA,NA
1452,Radeon HD 6650A,Unknown,Jan 2012,836,418,NA,NA,NA,NA,NA,NA
1453,Radeon HD 8730M,Mobile,Jan 2015,835,174,NA,PCIe 3.0 x8,NA,650 MHz,650 MHz,2048 MB
1454,Radeon HD 7560D + 6570 Dual,Unknown,Oct 2012,833,476,NA,NA,NA,NA,NA,NA
1455,Radeon HD 7520G + HD 7500/7600 Dual,Unknown,Jan 2016,832,355,NA,NA,NA,NA,NA,NA
1458,Radeon HD 7660G + 7600M Dual,Mobile,Oct 2012,832,341,NA,NA,NA,NA,NA,NA
1456,Radeon HD 7690M,Mobile,Dec 2012,832,354,NA,PCIe 2.1 x16,20,"725,600 MHz","725,600 MHz",2048 MB
1457,Radeon HD 8650G + 8600/8700M Dual,Mobile,Jul 2013,832,374,NA,NA,NA,NA,NA,NA
1459,Intel HD 5200,Unknown,Apr 2013,830,653,NA,NA,NA,NA,NA,NA
1460,GRID M60-0Q,Unknown,Apr 2018,827,516,NA,NA,NA,NA,NA,NA
1461,Quadro FX 3800,Workstation,Apr 2009,825,45,$259.13*,PCIe 2.0 x16,108,602 MHz,602 MHz,1024 MB
1462,Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,Mobile,Oct 2013,824,262,NA,NA,NA,NA,NA,NA
1463,GeForce GT 730,Desktop,Jul 2014,823,259,$139.90*,PCIe 2.0 x8 x16,49,700-902 MHz,700-902 MHz,2048 MB
1465,Radeon HD 3850 X2,Desktop,Sep 2009,822,422,NA,PCIe 2.0 x16,349,668 MHz,668 MHz,1024 MB
1466,Radeon HD 7540D + 7500 Dual,Unknown,Dec 2014,822,471,NA,NA,NA,NA,NA,NA
1464,Radeon R7 A10 PRO-7850B,Unknown,Nov 2014,822,295,NA,NA,NA,NA,NA,NA
1467,Radeon HD 8650G + HD 7600M Dual,Mobile,Mar 2015,820,346,NA,NA,NA,NA,NA,NA
1468,Radeon R7 FX-8800P,Unknown,Dec 2016,820,188,NA,NA,NA,NA,NA,NA
1469,Radeon HD 8550G + HD 8750M Dual,Mobile,Dec 2014,819,336,NA,NA,NA,NA,NA,NA
1471,GeForce 920A,Unknown,Aug 2016,818,138,NA,NA,NA,NA,NA,NA
1470,Radeon R7 PRO A10-9700,Unknown,Feb 2017,818,199,NA,NA,NA,NA,NA,NA
1472,Radeon R7 M260DX,Unknown,May 2019,817,195,NA,NA,NA,NA,NA,NA
1473,Radeon Ryzen 3 3200U,Desktop,Jul 2025,816,360,NA,NA,NA,NA,NA,NA
1474,Intel UHD Graphics 617,Unknown,Feb 2019,815,216,NA,NA,NA,NA,NA,NA
1475,Radeon R9 M280X,Mobile,Jan 2020,814,247,NA,PCIe 3.0 x16,75,1000 MHz,1000 MHz,4096 MB
1476,Radeon Vega 3 Athlon 300U,Unknown,Feb 2023,814,221,NA,NA,NA,NA,NA,NA
1477,Radeon HD 8670D + 7000 Dual,Unknown,Nov 2017,812,488,NA,NA,NA,NA,NA,NA
1479,GeForce GT 635,Unknown,Oct 2013,811,232,$66.94*,NA,NA,NA,NA,NA
1478,Radeon R7 A8-7500,Unknown,Feb 2017,811,264,NA,NA,NA,NA,NA,NA
1481,Radeon R7 A10 Extreme Edition,Unknown,Dec 2016,806,210,NA,NA,NA,NA,NA,NA
1480,Radeon Vega 3 Athlon Silver 3050U,Unknown,Jan 2023,806,230,NA,NA,NA,NA,NA,NA
1482,GeForce GT 730M,Mobile,Feb 2013,805,171,NA,PCIe 3.0 x8,33,719 MHz,NA,2048 MB
1485,Radeon HD 7670,Desktop,Feb 2012,803,317,NA,PCIe 2.1 x16,66,800 MHz,800 MHz,1024 MB
1483,Radeon HD 8550G + 8600/8700M Dual,Mobile,Aug 2013,803,336,NA,NA,NA,NA,NA,NA
1484,Radeon Ryzen 3 3500U,Desktop,Jan 2026,803,265,NA,NA,NA,NA,NA,NA
1486,Radeon HD 8650G + HD 8790M Dual,Mobile,Nov 2014,800,404,NA,NA,NA,NA,NA,NA
1487,Radeon HD 5670,Desktop,Aug 2012,799,294,$88.67*,PCIe 2.1 x16,64,"775,775 MHz","775,775 MHz",2048 MB
1488,Radeon R8 M445DX,Unknown,Apr 2019,797,181,NA,NA,NA,NA,NA,NA
1491,GRID M10-0Q,Unknown,Aug 2017,796,344,NA,NA,NA,NA,NA,NA
1490,Radeon HD 8550G + 8750M Dual,Mobile,Aug 2013,796,321,NA,NA,NA,NA,NA,NA
1489,Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,Mobile,Dec 2013,796,322,NA,NA,NA,NA,NA,NA
1493,GeForce GT 445M,Mobile,Nov 2010,790,208,NA,PCIe 2.0 x16,35,590 MHz,590 MHz,1536 MB
1492,Intel UHD 770,Desktop,Aug 2024,790,359,NA,NA,NA,NA,NA,NA
1494,Radeon R7 PRO A10-8770E,Unknown,Jan 2017,790,194,NA,NA,NA,NA,NA,NA
1495,Radeon HD 8650G + 8750M Dual,Mobile,Jul 2013,787,381,NA,NA,NA,NA,NA,NA
1496,Radeon HD 7730M,Mobile,Mar 2015,786,208,NA,PCIe 2.1 x16,25,"575,675 MHz","575,675 MHz",2048 MB
1497,Radeon R7 A8-7680,Unknown,Mar 2019,785,192,NA,NA,NA,NA,NA,NA
1498,Radeon Ryzen 3 3250U,Unknown,Dec 2022,784,224,NA,NA,NA,NA,NA,NA
1500,Radeon R7 A365,Unknown,Feb 2016,781,763,NA,NA,NA,NA,NA,NA
1499,Radeon R7 PRO A6-9500 2C+6G,Unknown,Apr 2019,781,439,NA,NA,NA,NA,NA,NA
1501,Radeon R7 M270,Unknown,Jan 2015,780,145,NA,NA,NA,NA,NA,NA
1502,Qualcomm Adreno 7c Gen 3 GPU,Unknown,Dec 2023,778,156,NA,NA,NA,NA,NA,NA
1503,Radeon HD 7660G + HD 7700M Dual,Mobile,Oct 2014,777,168,NA,NA,NA,NA,NA,NA
1504,GeForce GT 740M,Mobile,May 2013,776,148,NA,PCIe 3.0 x8,NA,980 MHz,NA,2048 MB
1505,Radeon HD 7640G + 7500M/7600M Dual,Mobile,Oct 2012,776,317,NA,NA,NA,NA,NA,NA
1506,Radeon HD 4810,Desktop,Mar 2014,775,225,NA,PCIe 2.0 x16,95,"627,750 MHz","627,750 MHz",512 MB
1509,Mobility Radeon HD 5000,Unknown,Sep 2012,773,429,NA,NA,NA,NA,NA,NA
1511,Radeon HD 6650M,Mobile,Jan 2011,773,238,NA,PCIe 2.1 x16,NA,600 MHz,600 MHz,1024 MB
1507,Radeon HD 7600M + 7600M Dual,Mobile,Oct 2012,773,317,NA,NA,NA,NA,NA,NA
1508,Radeon HD 8650G N HD 8650G + HD 8570M Dual,Mobile,Aug 2014,773,368,NA,NA,NA,NA,NA,NA
1510,Radeon R7 A10-8850,Unknown,Jan 2017,773,277,NA,NA,NA,NA,NA,NA
1513,Radeon 535DX,Unknown,Apr 2019,771,167,NA,NA,NA,NA,NA,NA
1514,Radeon R5 PRO A6-9500E 2C+4G,Unknown,Jan 2017,771,288,NA,NA,NA,NA,NA,NA
1512,Radeon R7 PRO A10-8750B,Unknown,Nov 2015,771,218,NA,NA,NA,NA,NA,NA
1516,GeForce GT 440,Desktop,Dec 2010,770,242,$225.00*,PCIe 2.0 x16,65,810 MHz,810 MHz,2048 MB
1515,Radeon R7 A8-7600,Unknown,Oct 2014,770,208,NA,NA,NA,NA,NA,NA
1517,GeForce 9800 GTX,Desktop,Apr 2009,769,366,$74.99*,PCIe 2.0 x16,140,675 MHz,675 MHz,512 MB
1518,GeForce GTX 850A,Unknown,May 2015,767,198,NA,NA,NA,NA,NA,NA
1520,Radeon Athlon Gold 3150U,Unknown,Dec 2022,767,230,NA,NA,NA,NA,NA,NA
1519,Radeon R7 A10-7700K,Unknown,Nov 2014,767,218,NA,NA,NA,NA,NA,NA
1521,GeForce 730A,Unknown,Sep 2015,765,184,NA,NA,NA,NA,NA,NA
1522,Radeon HD 8650G + HD 8600/8700M Dual,Mobile,Mar 2014,764,356,NA,NA,NA,NA,NA,NA
1523,Mobility Radeon HD 5850,Mobile,Jan 2010,763,403,NA,PCIe x16 2.1,31,"625,500,625 MHz","625,500,625 MHz",1024 MB
1524,Radeon HD 6450 + 8470D Dual,Unknown,Apr 2017,763,486,NA,NA,NA,NA,NA,NA
1525,Radeon R5 435,Unknown,Jul 2020,762,230,NA,NA,NA,NA,NA,NA
1527,GeForce 825M,Mobile,Oct 2014,761,212,NA,PCIe 3.0 x8,33,850 MHz,NA,2048 MB
1528,"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",Unknown,Jun 2021,761,179,NA,NA,NA,NA,NA,NA
1526,Radeon R7 A8-7650K,Unknown,Mar 2015,761,214,NA,NA,NA,NA,NA,NA
1529,Radeon HD 7660G + HD 7500/7600 Dual,Unknown,Sep 2016,760,369,NA,NA,NA,NA,NA,NA
1531,Quadro 2000M,Workstation,Aug 2012,758,228,$229.74*,PCIe 2.0 x16,55,550 MHz,550 MHz,2048 MB
1530,Radeon HD 7660G + HD 8500M Dual,Mobile,Sep 2014,758,355,NA,NA,NA,NA,NA,NA
1532,Radeon HD 8650G + HD 8600M N HD 8600M Dual,Mobile,Dec 2013,758,413,NA,NA,NA,NA,NA,NA
1533,Radeon HD 7660G + 7700M Dual,Mobile,Aug 2013,757,311,NA,NA,NA,NA,NA,NA
1535,Quadro 1100M,Unknown,Feb 2013,755,734,NA,NA,NA,NA,NA,NA
1534,Radeon Ryzen Embedded R2312,Desktop,May 2025,755,310,NA,NA,NA,NA,NA,NA
1536,Radeon HD 7640G + 7450M Dual,Mobile,Jul 2014,754,353,NA,NA,NA,NA,NA,NA
1537,Radeon HD 8570D + HD 7000 Dual,Unknown,Jun 2015,753,465,NA,NA,NA,NA,NA,NA
1538,Radeon R7 FX-9800P RADEON,Unknown,Dec 2016,753,185,$530.00*,NA,NA,NA,NA,NA
1539,IncrediblE HD 4600,Unknown,Nov 2018,750,735,NA,NA,NA,NA,NA,NA
1540,Radeon M535DX,Unknown,Jul 2019,750,288,NA,NA,NA,NA,NA,NA
1541,Radeon HD 6800M,Mobile,Feb 2012,749,222,NA,NA,NA,NA,NA,NA
1542,Quadro K1000M,Workstation,Aug 2012,748,247,$69.95*,PCIe 3.0 x16,45,850 MHz,850 MHz,2048 MB
1543,Radeon HD 7640G + 7650M Dual,Mobile,Jan 2014,747,188,NA,NA,NA,NA,NA,NA
1544,Radeon HD 7660G + HD 8600/8700M Dual,Mobile,Jun 2016,747,365,NA,NA,NA,NA,NA,NA
1546,Radeon HD 7660G + 7610M Dual,Mobile,Dec 2012,746,323,NA,NA,NA,NA,NA,NA
1545,Radeon HD 8670D + R5 330 Dual,Unknown,Mar 2017,746,494,NA,NA,NA,NA,NA,NA
1547,Radeon R5 235 + HD 7560D Dual,Unknown,May 2014,744,441,NA,NA,NA,NA,NA,NA
1549,GeForce GT 730A,Unknown,Jun 2014,743,714,NA,NA,NA,NA,NA,NA
1548,Radeon HD 7660G + 7670M Dual,Mobile,Jun 2012,743,347,NA,NA,NA,NA,NA,NA
1550,Radeon HD 8650G + 7600M Dual,Mobile,Nov 2013,742,404,NA,NA,NA,NA,NA,NA
Insufficient data,RadeonT Athlon Silver 3050e,Desktop,Nov 2025,742,243,NA,NA,NA,NA,NA,NA
Insufficient data,A40,Desktop,Nov 2025,741,23,NA,NA,NA,NA,NA,NA
1551,Radeon Vega 3 Athlon 320GE,Unknown,May 2023,741,272,NA,NA,NA,NA,NA,NA
1552,Intel Poison Ivy,Unknown,Mar 2019,739,783,NA,NA,NA,NA,NA,NA
1553,GeForce GT 340,Desktop,Jan 2011,738,242,$52.99*,PCIe 2.0 x16,69,550 MHz,550 MHz,1024 MB
1554,Radeon HD 7670M + 7670M Dual,Mobile,Nov 2012,738,294,NA,NA,NA,NA,NA,NA
1555,Radeon R5 235 + HD 8570D Dual,Unknown,Jul 2015,738,486,NA,NA,NA,NA,NA,NA
1556,Radeon R7 A10-7800,Unknown,Nov 2014,738,195,NA,NA,NA,NA,NA,NA
1557,Intel Iris 5100,Unknown,Oct 2013,732,269,NA,NA,NA,NA,NA,NA
1558,Radeon R5 A10-9620P 4C+6G,Unknown,Aug 2017,732,196,NA,NA,NA,NA,NA,NA
1559,Radeon R7 A12-9720P RADEON,Unknown,Jul 2017,732,170,$365.48*,NA,NA,NA,NA,NA
1561,Radeon HD 6670,Desktop,Aug 2012,731,253,$68.99*,PCIe 2.1 x16,66,"800,800 MHz","800,800 MHz",2048 MB
1560,Radeon Vega 3 Ryzen Embedded R1505G,Unknown,Dec 2022,731,261,NA,NA,NA,NA,NA,NA
1562,GRID P4-1Q,Desktop,May 2024,730,74,NA,NA,NA,NA,NA,NA
1563,Radeon R7 PRO A8-8650B,Unknown,Dec 2015,730,199,NA,NA,NA,NA,NA,NA
1564,Radeon HD 7550M/7650M,Mobile,Jul 2012,729,524,NA,PCIe 2.1 x16,13,"450,550 MHz","450,550 MHz",1024 MB
1565,GRID K140Q,Workstation,Jul 2014,728,457,NA,NA,NA,NA,NA,NA
1567,Quadro K420,Workstation,Oct 2014,723,290,$269.00*,PCIe 2.0 x16,41,780 MHz,780 MHz,1024 MB
1566,Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,Mobile,Nov 2013,723,292,NA,NA,NA,NA,NA,NA
1568,Radeon HD 8650G + R5 M200 Dual,Unknown,Jul 2015,723,323,NA,NA,NA,NA,NA,NA
1570,Asus GTX 650 FML II EC-EGPU,Unknown,Dec 2016,721,534,NA,NA,NA,NA,NA,NA
1569,"Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4",Unknown,Dec 2022,721,224,NA,NA,NA,NA,NA,NA
1571,Mobility Radeon HD 4870,Mobile,Sep 2010,720,416,NA,PCIe x16 2.0,NA,550 MHz,550 MHz,1024 MB
1572,Radeon HD 7540D + 6570 Dual,Unknown,Jul 2013,720,469,NA,NA,NA,NA,NA,NA
1573,Quadro K600,Workstation,Mar 2013,719,281,$60.24*,PCIe 2.0 x16,41,876 MHz,876 MHz,1024 MB
1575,Radeon HD 8670D + HD 7000 Dual,Unknown,Mar 2015,719,403,NA,NA,NA,NA,NA,NA
1574,Radeon R7 A8-8650,Unknown,Jan 2016,719,329,NA,NA,NA,NA,NA,NA
1576,Intel UHD Graphics 615,Unknown,Oct 2018,718,169,NA,NA,NA,NA,NA,NA
1577,Radeon HD 8470D + 6450 Dual,Unknown,Sep 2013,717,558,NA,NA,NA,NA,NA,NA
1578,GeForce 920M,Mobile,Apr 2015,716,120,NA,NA,NA,NA,NA,NA
1579,Radeon HD 8650G + HD 8570M Dual,Mobile,Sep 2014,716,317,NA,NA,NA,NA,NA,NA
1580,Radeon R7 A10 PRO-7800B,Unknown,Oct 2014,715,217,NA,NA,NA,NA,NA,NA
1581,Quadro K610M,Workstation,Aug 2014,714,216,$240.00*,PCIe 3.0 x16,30,980 MHz,980 MHz,1024 MB
1582,Radeon HD 7660G + HD 8670M Dual,Mobile,Dec 2015,711,325,NA,NA,NA,NA,NA,NA
1583,GeForce GT 740A,Unknown,Apr 2015,710,265,NA,NA,NA,NA,NA,NA
1584,Radeon HD 6550A,Unknown,Jan 2012,708,609,NA,NA,NA,NA,NA,NA
1585,Radeon HD 7660G + HD 7670M Dual,Mobile,Jan 2014,707,317,NA,NA,NA,NA,NA,NA
1586,Qualcomm Adreno 7c+ Gen 3,Unknown,Jun 2023,706,170,NA,NA,NA,NA,NA,NA
1587,Radeon HD 7640G + 7600M Dual,Mobile,Jul 2012,706,294,NA,NA,NA,NA,NA,NA
1588,Radeon HD 7660G N HD 7660G + HD 7670M Dual,Mobile,Jan 2014,705,318,NA,NA,NA,NA,NA,NA
1589,Radeon HD 7640G + HD 7600M Dual,Mobile,Oct 2014,704,277,NA,NA,NA,NA,NA,NA
1590,Radeon HD 7570M/HD 7670M,Mobile,Mar 2015,699,555,NA,PCIe 2.1 x16,25,600 MHz,600 MHz,1024 MB
1591,"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",Unknown,Sep 2020,699,148,NA,NA,NA,NA,NA,NA
1592,Radeon R5 PRO A10-8730B 4C+6G,Unknown,Jan 2017,695,201,NA,NA,NA,NA,NA,NA
1593,Radeon R5 PRO A6-9500B 2C+4G,Unknown,Mar 2017,693,323,NA,NA,NA,NA,NA,NA
1594,Radeon HD 7640G + 7700M Dual,Mobile,Nov 2013,691,324,NA,NA,NA,NA,NA,NA
1595,Radeon R5 PRO A6-8530B 2C+4G,Unknown,Jan 2017,690,354,NA,NA,NA,NA,NA,NA
1596,GeForce GT 640M LE,Mobile,Sep 2012,689,170,$849.99*,"PCIe 2.0 x16,PCIe 3.0 x16",32,"762,500 MHz",NA,2048 MB
1597,Radeon HD 7640G + 8600/8700M Dual,Mobile,Oct 2013,689,308,NA,NA,NA,NA,NA,NA
1598,Intel HD 615,Unknown,Oct 2016,688,177,NA,NA,NA,NA,NA,NA
1599,Radeon Vega 3 Ryzen 3 3250U,Unknown,Jan 2023,687,208,NA,NA,NA,NA,NA,NA
1600,Radeon HD 8650G + R5 M230 Dual,Unknown,Jun 2014,686,374,NA,NA,NA,NA,NA,NA
1601,GeForce GT 630,Desktop,Jun 2012,685,242,$147.01*,PCIe 3.0 x16,50,875 MHz,875 MHz,2048 MB
1602,Intel UHD Graphics 610,Unknown,Mar 2018,685,171,NA,NA,NA,NA,NA,NA
1603,Radeon HD 6630M,Mobile,May 2011,685,390,NA,PCIe 2.1 x16,NA,485 MHz,485 MHz,1024 MB
1604,Radeon R7 A12-9700P RADEON,Unknown,Dec 2016,683,159,$435.92*,NA,NA,NA,NA,NA
1605,Radeon R7 PRO A12-9800B,Unknown,Jan 2017,683,182,NA,NA,NA,NA,NA,NA
1607,Radeon HD 7640G N HD 7640G + HD 7670M Dual,Mobile,Nov 2013,680,305,NA,NA,NA,NA,NA,NA
1606,Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,Mobile,Dec 2013,680,347,NA,NA,NA,NA,NA,NA
1608,GeForce GTS 160M,Mobile,Jul 2009,679,308,NA,PCIe 2.0 x16,60,600 MHz,600 MHz,1024 MB
1609,Radeon Athlon Silver 3050U,Unknown,Jan 2023,678,226,NA,NA,NA,NA,NA,NA
1610,NVS 510,Workstation,Oct 2012,677,287,$78.00,PCI-Express x16,35,NA, MHz,2048 MB
1611,Radeon HD 7640G + HD 8670M Dual,Mobile,Aug 2015,677,249,NA,NA,NA,NA,NA,NA
1613,Quadro FX 4700 X2,Unknown,Apr 2014,676,509,NA,NA,NA,NA,NA,NA
1612,Radeon HD 8610G + R5 M200 Dual,Unknown,Jun 2016,676,291,NA,NA,NA,NA,NA,NA
1614,Intel HD 610,Unknown,Jan 2017,674,152,NA,NA,NA,NA,NA,NA
1615,Radeon Vega 3 Athlon Gold 3150U,Unknown,Jan 2023,672,198,NA,NA,NA,NA,NA,NA
1616,Radeon R8 M535DX,Unknown,Apr 2019,670,182,NA,NA,NA,NA,NA,NA
1618,Radeon HD 7640G + HD 8500M N HD 8500M Dual,Mobile,Nov 2013,666,311,NA,NA,NA,NA,NA,NA
1617,Radeon R5 A6-7480,Unknown,Apr 2019,666,173,NA,NA,NA,NA,NA,NA
1619,FirePro M7740,Workstation,Dec 2009,665,415,NA,PCIe 2.0 x16,NA,650 MHz,650 MHz,1024 MB
1620,Radeon HD 8550G + 8690M Dual,Mobile,Nov 2013,664,260,NA,NA,NA,NA,NA,NA
1621,GeForce GT 720,Desktop,Jun 2014,661,226,$99.99*,PCIe 2.0 x8,19,797 MHz,797 MHz,2048 MB
1622,FireGL V7700,Workstation,Mar 2011,660,422,$69.99*,PCIe 2.0,NA,775 MHz,775 MHz,512 MB
1623,GeForce GT 735M,Mobile,Jul 2013,660,130,NA,PCIe 3.0 x8,NA,889 MHz,NA,2048 MB
1624,Radeon HD 2900 XT,Desktop,Apr 2012,660,397,NA,PCIe 1.0 x16,215,"743,743 MHz","743,743 MHz",1024 MB
1625,Mi Pad 5 Adreno 640 GPU,Unknown,Jun 2023,659,192,NA,NA,NA,NA,NA,NA
1626,Radeon R5 PRO A8-9600B 4C+6G,Unknown,Jan 2017,659,224,NA,NA,NA,NA,NA,NA
