Ranking,Nome,Categoria,Lançamento,Pontuação (Multi),Pontuação (Single),Preço,Socket,Tdp,cpuCounts,Núcleos,Threads,Clock Base (MHz),Clock Turbo (MHz)
1276,Intel Xeon E5-1680 v4 @ 3.40GHz,Server,Oct 2016,"14,224","2,316","$1,498.95*",FCLGA2011-3,140,1,8,2,3400,4000
1277,Intel Xeon W-2235 @ 3.80GHz,Server,Aug 2020,"14,180","2,603",$666.99*,FCLGA2066,130,1,6,2,3800,4600
1278,Intel Xeon D-1732TE @ 1.90GHz,Server,Nov 2022,"14,179","1,854",$759.00*,FCBGA2227,52,1,8,2,1900,3000
1279,AMD Ryzen 5 PRO 5675U,Laptop,Apr 2022,"14,172","2,822",NA,FP6,15,1,6,2,2300,4300
1280,Intel Xeon E5-4660 v3 @ 2.10GHz,Server,May 2017,"14,167","1,584","$4,800.00*",FCLGA2011-3,120,1,14,2,2100,2900
1281,ARM - 12 Core 0 MHz,Mobile/Embedded,Aug 2023,"14,163","3,220",NA,Unknown,NA,1,12,1,0,NA
1282,Intel Core i9-10900TE @ 1.80GHz,Mobile/Embedded,Mar 2021,"14,159","2,298",$444.00*,FCLGA1200,35,1,10,2,1800,4500
1283,AMD Ryzen 5 4600H,Laptop,May 2020,"14,156","2,414",NA,FP6,45,1,6,2,3000,4000
1284,Apple M1 8 Core 3200 MHz,"Desktop, Laptop, Mobile/Embedded",Feb 2021,"14,130","3,675",NA,Unknown,15.1,1,4,1,3228,NA
1285,Intel Core 7 250U,Laptop,Oct 2025,"14,123","3,416",NA,Unknown,15,1,2,2,1800,5400
1287,AMD Ryzen 5 PRO 5650U,Laptop,May 2021,"14,119","2,769",NA,FP6,15,1,6,2,2300,4200
1286,Intel Core i5-10600KF @ 4.10GHz,Desktop,Jul 2020,"14,119","2,909",$236.42*,FCLGA1200,125,1,6,2,4100,4800
1288,Virtual @ 3.41GHz,Unknown,Jun 2024,"14,113","2,605",NA,Unknown,NA,1,6,1,3410,NA
1289,Intel Core i5-1345U,Laptop,Mar 2023,"14,092","3,319",$309.00*,FCBGA1744,15,1,2,2,1600,4700
1290,Intel Xeon E5-2696 v2 @ 2.50GHz,Server,Sep 2013,"14,088","1,691",NA,LGA2011,120,1,12,2,2500,3300
1291,Intel Core i3-13100,Desktop,Jan 2023,"14,077","3,531",$239.99,FCLGA1700,60,1,4,2,3400,4500
1292,Intel Core i7-8086K @ 4.00GHz,Desktop,Jun 2018,"14,066","2,817",$185.15,FCLGA1151-2,95,1,6,2,4000,5000
1293,AMD Ryzen 5 7535H,Laptop,Aug 2025,"14,065","2,114",NA,FP7,35,1,6,2,3300,4550
1294,AMD Ryzen 5 PRO 7530U,Laptop,May 2023,"14,051","2,913",NA,FP6,15,1,6,2,2000,4500
1295,AMD Ryzen 3 8300G,Desktop,Nov 2024,"14,045","3,828",NA,AM5,65,1,4,2,4000,4900
1296,Intel Xeon E-2276G @ 3.80GHz,Server,Nov 2019,"14,043","2,884",$460.29*,FCLGA1151-2,80,1,6,2,3800,4900
495,Intel Xeon E5-2650L v2 @ 1.70GHz,Server,Mar 2017,"14,039","1,029",$78.00*,FCLGA2011,70,2,10,2,1700,2100
1297,AMD Ryzen 3 PRO 5355G,Desktop,Nov 2025,"14,033","3,096",NA,AM4,65,1,4,2,4000,4200
1298,Intel Xeon E5-2666 v3 @ 2.90GHz,Server,Jan 2015,"14,026","1,961",NA,LGA2011-v3,135,1,10,2,2900,3500
1299,Intel Core i7-1355U,Laptop,Apr 2023,"14,021","3,398",$469.00*,FCBGA1744,15,1,2,2,1700,5000
